state,x,y
Andhra Pradesh,-80.0, -164.0
Arunachal Pradesh,176.0, 128.0
Assam,171.0, 79.0
Bihar,49.0, 58.0
Chhattisgarh,-24.0, -33.0
Goa,-187.0, -157.0
Gujarat,-224.0, 7.0
Haryana,-126.0, 128.0
Himachal Pradesh,-121.0, 182.0
Jharkhand,37.0, 17.0
Karnataka,-155.0, -176.0
Kerala,-145.0, -255.0
Madhya Pradesh,-121.0, 4.0
Maharashtra,-149.0, -70.0
Manipur,215.0, 47.0
Meghalaya,140.0, 59.0
Mizoram,194.0, 7.0
Nagaland,224.0, 79.0
Odisha,35.0, -45.0
Punjab,-145.0, 160.0
Rajasthan,-190.0, 80.0
Sikkim,101.0, 97.0
Tamil Nadu,-88.0, -257.0
Telangana,-89.0, -110.0
Tripura,162.0, 24.0
Uttar Pradesh,-56.0, 82.0
Uttarakhand,-75.0, 145.0
West Bengal,90.0, 10.0
